Code;Site ID;Site;Region;ECM Category;Energy;Meter Category;State;Identification Date;Issue Identified;Corrective Action;ECM Creation Date;Estimated Consumtion kWh;Estimated Cost;Creation User;Blocked;Implemented;New;Realized;To be implemented;Updated;Last Save Date;Last Save Author;BMS;Behaviour;Maintenance;Refrigeration;Capital;Word Order Number;Work Complete;Under Contract;RMM Validated;Investment;Capital Investment;Type;Last Comment Date;Last Comment Author;Comments;Implementation Date;Type Code
179-23;179;Glasgow Anniesland;Scotland;Behavioural;Electricity;Food Preparation;Realized;19/05/2014 01:00:00;Lighting in the food preparation area is being left on after store closes. For example the lighting stayed on until 00:10 14-15/07/14 and 21-22/07/14 This may be locally controlled lighting that is not being switched off or it may remain on due to use of lighting overrides.;Please ensure that at close of department, checks are put into place to turn off all nonessential equipment. This includes any locally controlled lighting and ventilation in these areas. Please note, lighting overrides should only be used in exceptional circumstances.;19/05/2014 10:00:00;182000;16380;Laurent Crolard;;2014/4/8 11:30;19/05/2014 10:00:00;2014/2/10 14:45;2014/4/8 10:30;;2014/2/10 14:45;Laurent Crolard;;19/05/2014 10:00:00;;;;;;;;WITHOUT;;MANUAL;2014/4/9 8:55;Amanda Ward;04/09/2014 08:55:55|Amanda Ward|Opening hours changed 21/07/14 - now open until midnight so not an issue (although it was at the time it was raised).;;
179-22;179;Glasgow Anniesland;Scotland;Behavioural;Electricity;Food Preparation;Updated;19/05/2014 01:00:00;The FTG night demand remains at full operating hours level several nights per week. The minimal recorded demand is 1 kW and should be a standard during non operating hours.;Operation schedule to be adjusted with auto setback night control and standardised to maintain minimum level during after hours.;19/05/2014 10:00:00;6660;600;Laurent Crolard;;;19/05/2014 10:00:00;;25/09/2014 11:25:01;25/09/2014 11:27:19;25/09/2014 11:27:19;Jonathan Aird;;19/05/2014 10:00:00;;;;;;;;WITHOUT;;MANUAL;2014/9/7 8:54;Amanda Ward;09/07/2014 08:54:01|Amanda Ward|Please advise what are FTG covers in case the store requests more info.;;
641-21;641;Worthing;South East;Behavioural;Electricity;Food Preparation;Blocked;19/05/2014 11:00:00;The Bakery starts its operation at various times during the week;Schedule of operation needs to be adjusted and homogenised to avoid unnecessary operation during afterhours.;19/05/2014 10:00:00;2340;211;Laurent Crolard;2014/4/8 12:30;;19/05/2014 10:00:00;;;;2014/12/8 12:45;SuperUser_3C0CCFE9-844D-4D8C-81CE-CB22FAFDAFDD;;19/05/2014 10:00:00;;;;;;;;WITHOUT;;MANUAL;27/05/2014 16:31:00;;27/05/2014 16:31:00||We can ask Store Staff to change the time they perform tasks.|25/06/2014 15:47:00|Amanda Ward|That should be  We can't ask Store Staff to change the time they perform tasks.;;
061-14;61;Rotherham Parkgate;Midlands;Maintenance;Electricity;Food Preparation;New;19/05/2014 00:00:00;The bakery operation now begins as early as midnight during the week and at 2:30 on Sundays;The schedule of operations should be readjusted to start at 4:30 on weekdays and possibly later on Sundays to reduce the demand during non operating hours.;19/05/2014 14:00:00;28600;2574;Laurent Crolard;;;2015/9/2 19:28;;2014/4/12 21:40;2014/4/12 20:42;2015/9/2 19:28;Zhaohua Tan;;19/05/2014 14:00:00;2015/9/2 19:28;;;;;;;WITHOUT;;MANUAL;27/05/2014 22:02:00;;27/05/2014 22:02:00||We cannot ask store staff to change the time they perform tasks such as baking. If this is an issue with timers, please let us know.;;
107-19;107;Hull Anlaby;North;Behavioural;Electricity;Customer Cafe;Realized;19/05/2014 01:00:00;It has been identified that energy usage in the cafe is above expected outside of the cafe opening hours. On some nights (for example 16/06/14 and 18/06/14), cafe lighting remains on overnight.;Please ensure all equipment is switched off when not in use and that all lighting and local ventilation controls are switched off outside of store opening hours.;19/05/2014 10:00:00;8330;750;Laurent Crolard;;2014/4/8 11:30;19/05/2014 10:00:00;2014/1/12 21:28;2014/4/8 10:30;;2015/6/1 13:50;Chicheng Zhang;;19/05/2014 10:00:00;;;;;;;;WITHOUT;;MANUAL;;;;2014/8/12 0:00;
124-31;124;Darlington Morton Park;North;BMS;Electricity;HVAC;Updated;16/05/2014 01:00:00;The Staff AHU 3 4 5 have are not completely switched off during the night from Saturday evening to Wednesday morning.;All unnecessary operations should be avoided to reduce demand during afterhours and stop the AHUs like the other days of the week.;16/05/2014 10:00:00;6822;614;Laurent Crolard;;;16/05/2014 10:00:00;;16/05/2014 10:30:00;2014/4/11 11:20;2014/4/11 11:20;Ian Barraclough;16/05/2014 10:00:00;;;;;;;;;WITHOUT;;MANUAL;30/06/2014 01:00:00;mittons@elutions.com;"30/06/2014 01:00:00|mittons@elutions.com|All site plant is operated centrally, so these AHUs cannot operate without the rest of site plant, boilers, extracts etc. following suit. Has this issue recurred since May?|23/07/2014 01:00:00|elutions@elutions.com|the schedule should be reviewed as the staff AHU are being stopped on every Wednesdays, Thursdays and Fridays night, could it be possible do the same on Saturdays, Sundays, Mondays and Tuesdays?|04/08/2014 13:51:36|EOP Bureau|test comment|04/08/2014 16:46:56|Ian Barraclough|test comment 2|08/08/2014 13:59:13|Tom Matthews|test|04/11/2014 11:20:10|Ian Barraclough|Please confirm exactly what you mean by ""Are not completely switching off"". these units are contactor controlled so are either ON or OFF, there is no middle state. What residual energy level are you seeing?";;
052-19;52;Sheffield Hillsborough;Midlands;Maintenance;Electricity;HVAC;To be implemented;16/05/2014 01:00:00;The RAH and AHU 2 3 4 have a constant day demand during the night on weekdays.  ;Site to be visited to diagnose equipment failure and ensure the AHU's follow the correct schedule.  AHU's to be off at the closing time and switched on at just before the opening time to reach the setpoint at the opening time on weekdays.;16/05/2014 10:00:00;35000;3150;Laurent Crolard;;;16/05/2014 10:00:00;;2015/12/2 17:40;18/11/2014 14:39:49;2015/12/2 17:40;Alex Graber;16/05/2014 10:00:00;;2015/12/2 17:40;;;;;;;WITHOUT;;MANUAL;2014/12/6 3:00;elutions@elutions.com;12/06/2014 03:00:00|elutions@elutions.com|It wasn't corrected yet, it's still on from Tuesday to Friday. Could you review it please.|23/06/2014 03:00:00|mittons@elutions.com|No changes made, BMS operation and settings correct to corporate standard. If this issue is recurring a site visit will be necessary to investigate.|27/06/2014 03:00:00|elutions@elutions.com|it was on during the night on 26th.  It during the night on Sunday. |14/07/2014 03:00:00|mittons@elutions.com|Site visit has been organised to ascertain if and where this is occuring out of hours. |22/07/2014 03:00:00|elutions@elutions.com|This might be a behaviour issue as it's occuring on some night without link. for example in July day concerned : 1st, 2nd, 7th, 8th, 9th, 11th, 12th, 15th. We will wait for your feedback from the site visit.  |18/11/2014 15:39:49|Ian Barraclough|We can see the enable signals going on and off every night, so the only reason these fans can be staying on is either manual intervention (over-ride use) or equipment failure. We can do no more remotely.;;
118-25;118;Cambridge Cambourne;South East;BMS;Electricity;HVAC;Updated;16/05/2014 01:00:00;The Mall RAH are not switched off at night;Schedule of the RAH needs to be changed and configured to be off at the closing time and switched on at just before the opening time to reach the setpoint at the opening time.;16/05/2014 10:00:00;5500;500;Laurent Crolard;;;16/05/2014 10:00:00;;16/05/2014 10:30:00;28/08/2014 15:35:12;28/08/2014 15:35:12;Tom Matthews;16/05/2014 10:00:00;;;;;;;;;WITHOUT;;MANUAL;2014/12/6 1:00;elutions@elutions.com;12/06/2014 01:00:00|elutions@elutions.com|Still no change on the consumption and no comment from Mittons|07/07/2014 01:00:00|mittons@elutions.com|See 118-24. No changes made to RAH1 or 2, BMS operation correct and to corporate standard. Issue with RAH 3 resolved. |22/07/2014 01:00:00|elutions@elutions.com|The RAH consumption has changed on the 8/7/14. The consumption increases during the day and slighly decreases during the night. Maybe the RAH 3 is now working with a schedule but not the 2 others. Could you review it? |28/08/2014 15:35:12|Tom Matthews|No further changes made, from BMS graphs these are operating correctly.;;
118-24;118;Cambridge Cambourne;South East;BMS;Electricity;HVAC;Updated;16/05/2014 01:00:00;The Mall RAH are always running;Schedule of the RAH needs to be changed and sync operation with opening time;16/05/2014 10:00:00;3276;295;Laurent Crolard;;;16/05/2014 10:00:00;;16/05/2014 10:30:00;28/08/2014 15:35:39;28/08/2014 15:35:39;Tom Matthews;16/05/2014 10:00:00;;;;;;;;;WITHOUT;;MANUAL;2014/12/6 1:00;elutions@elutions.com;12/06/2014 01:00:00|elutions@elutions.com|Still no change on the consumption and no comment from Mittons|07/07/2014 01:00:00|mittons@elutions.com|No changes made to RAH1 or 2, BMS operation correct and to corporate standard. Issue with RAH 3 resolved. |22/07/2014 01:00:00|elutions@elutions.com|The RAH consumption has changed on the 8/7/14. The consumption increases during the day and slighly decreases during the night. Maybe the RAH 3 is now working with a schedule but not the 2 others. Could you review it? |28/08/2014 15:35:38|Tom Matthews|Please see 118-25;;
641-20;641;Worthing;South East;Maintenance;Electricity;Lighting;Realized;16/05/2014 01:00:00;Sales Floor Lighting and Display Lighting are not switched off at night anymore, Mittons has said that this is not BMS controlled;Electrical contractor required to attend site, investigate and resolve why the Display Lighting and 2/3 Sales Lighting circuit is not switched off during the night. The Trend BMS has been checked and found to be set up correctly. Correct time schedule for this store is Monday _ Saturday on 06:55, off 22:15. Sunday on 9:55, off 16:15.   Example problems could be - Welded contactor on individual circuit, incorrect wiring or problem with local time clock.;16/05/2014 10:00:00;88700;7983;Laurent Crolard;;2014/9/10 15:31;23/06/2014 13:00:00;2014/9/10 15:31;16/09/2014 09:08:07;23/06/2014 11:00:00;2014/9/10 15:31;Francois Donckele;16/05/2014 10:00:00;;23/06/2014 13:00:00;;;7724991;TRUE;TRUE;;WITHOUT;;MANUAL;2014/12/6 1:00;mittons@elutions.com;12/06/2014 01:00:00|mittons@elutions.com|Site lighting panel is not BMS controlled.|23/07/2014 01:00:00|elutions@elutions.com|changed to maintenance|06/08/2014 13:26:51|Justin Hobday|test|09/10/2014 15:29:28|Francois Donckele|MML says: Job Complete 18/07/14 ;;
641-19;641;Worthing;South East;Behavioural;Electricity;Warehouse;New;16/05/2014 01:00:00;Warehouse L&P & Signs - DB N2 has increased its demand by 1kW;All unnecessary operations should be avoided and the minimal demand should be maintained;16/05/2014 10:00:00;9200;828;Laurent Crolard;;;16/05/2014 10:00:00;;;;2014/12/8 12:45;Laurent Crolard;;16/05/2014 10:00:00;;;;;;;;WITHOUT;;MANUAL;;;;;
365-12;365;Tunbridge Wells Vale Road;South East;BMS;Electricity;HVAC;Blocked;16/05/2014 01:00:00;The ventilation demand for the main AHU increases during the day to refresh the store but the heaters are not stopped earlier than sharp when the cooling begins. The heating appears therefore unnecessary and could be stopped earlier. The cooling demand would therefore also be reduced.;Adjust and fine tune heaters and ventilation schedule of operation to reduce heating and cooling demand when both are needed the same day to maintain the standard temperature within the store at opening time.;16/05/2014 10:00:00;3600;324;Laurent Crolard;30/06/2014 12:30:00;;16/05/2014 10:00:00;;16/05/2014 10:30:00;30/06/2014 11:00:00;2014/12/8 12:44;SuperUser_3C0CCFE9-844D-4D8C-81CE-CB22FAFDAFDD;16/05/2014 10:00:00;;;;;;;;;WITHOUT;;MANUAL;23/06/2014 01:00:00;mittons@elutions.com;23/06/2014 01:00:00|mittons@elutions.com|No changes made, BMS operation normal and settings set to corporate standards, there is no AC on site, only free cooling which occurs if the store has overheated and only if cooler outside. Inverter contol is operating normally to standard parameters.|30/06/2014 01:00:00|elutions@elutions.com|blocked as no changes will be made on these.;;
364-22;364;Totton Hounsdown;South West;Behavioural;Electricity;Customer Cafe;Updated;16/05/2014 01:00:00;It has been identified that energy usage in the cafe is above expected outside of the cafe opening hours. For example on 17-18/06/14, 2-3/2/15, night time consumption was higher than unusual. ;Please ensure all equipment is switched off when not in use and that all lighting and local ventilation controls are switched off outside of store opening hours.;16/05/2014 10:00:00;5200;468;Laurent Crolard;;2014/4/8 11:30;16/05/2014 10:00:00;;2015/9/3 18:55;17/03/2015 10:37:56;17/03/2015 10:37:56;Amanda Ward;;16/05/2014 10:00:00;;;;;;;;WITHOUT;;MANUAL;26/06/2014 09:04:43;Amanda Ward;26/06/2014 09:04:43|Amanda Ward|Please be aware that we have been advised that prepation time is 1 - 1 1/2 hours. Alarm to be issued re high night time only,|17/03/2015 10:37:55|Amanda Ward|Please provide additioanl, more recent examples. 2-3/2/15 looks fine.;;
217-24;217;Swinton Swinton Hall Road;Midlands;Behavioural;Electricity;Food Preparation;Implemented;16/05/2014 01:00:00;Energy usage in food preparation areas within your store is above expected usage.;Please ensure that at close of department, checks are put into place to turn off all nonessential equipment. This includes any locally controlled lighting and ventilation in these areas.;16/05/2014 10:00:00;5000;450;Laurent Crolard;;2014/4/8 11:30;16/05/2014 10:00:00;;2014/4/8 10:30;;2014/12/8 12:44;SuperUser_3C0CCFE9-844D-4D8C-81CE-CB22FAFDAFDD;;16/05/2014 10:00:00;;;;;;;;WITHOUT;;MANUAL;2014/12/6 9:01;Amanda Ward;12/06/2014 09:01:27|Amanda Ward|Please can we have some examples to feed back to the store?;;
122-16;122;Stockport Cheadle Heath;Midlands;Behavioural;Electricity;Customer Cafe;Realized;16/05/2014 01:00:00;It has been identified that energy usage in the cafe is above expected outside of the cafe opening hours. The customer caf®¶ lighting and equipment often remain on during the night;Please ensure all equipment is switched off when not in use and that all lighting and local ventilation controls are switched off outside of store opening hours.;16/05/2014 10:00:00;5620;506;Laurent Crolard;;2014/4/8 11:30;16/05/2014 10:00:00;2014/1/12 21:31;2014/4/8 10:30;;2014/1/12 21:31;Chicheng Zhang;;16/05/2014 10:00:00;;;;;;;;WITHOUT;;MANUAL;25/06/2014 10:22:39;Amanda Ward;25/06/2014 10:22:39|Amanda Ward|Last stayed on 6-7/06/14. May be resolved.;;
317-23;317;St. Albans Hatfield Road;South East;BMS;Electricity;Lighting;Realized;16/05/2014 01:00:00;Sales Floor Lighting DB L1 is now never switched off at night;The Schedule of operations should be adjusted and sync with the opening hours. All lights should be switched off at 22:15 (16:15 on Sundays);16/05/2014 10:00:00;91730;8256;Laurent Crolard;;2014/2/6 11:30;16/05/2014 10:00:00;2014/2/6 12:00;16/05/2014 10:30:00;;2014/12/8 12:43;SuperUser_3C0CCFE9-844D-4D8C-81CE-CB22FAFDAFDD;16/05/2014 10:00:00;;;;;;;;;WITHOUT;;MANUAL;;;;;
317-22;317;St. Albans Hatfield Road;South East;BMS;Electricity;Lighting;Realized;16/05/2014 01:00:00;Sales Floor Lighting : Night Consumption has increased by 45 additional kWh every night on average, to reach a night average over consumption of 105kWh.;All unnecessary operations should be cancelled once the store is closed. All non essential lights should remains switched off at night.;16/05/2014 10:00:00;16380;1475;Laurent Crolard;;2014/9/6 11:30;16/05/2014 10:00:00;2014/9/6 12:00;16/05/2014 10:30:00;;2014/12/8 12:43;SuperUser_3C0CCFE9-844D-4D8C-81CE-CB22FAFDAFDD;16/05/2014 10:00:00;;;;;;;;;WITHOUT;;MANUAL;;;;;
115-21;115;Norwich Riverside;South East;Behavioural;Electricity;Food Preparation;Implemented;16/05/2014 01:00:00;Energy usage associated with the bakery is above expected usage.;Please ensure that at close of department, checks are put into place to turn off all none essential equipment. This includes any locally controlled lighting and ventilation. Where possible, Bakery equipment should be switched off when not in use. Ensure that any time clocks are set to the right times.;16/05/2014 10:00:00;7500;675;Laurent Crolard;;2014/4/8 11:30;16/05/2014 10:00:00;;2014/4/8 10:30;;2014/12/8 12:41;SuperUser_3C0CCFE9-844D-4D8C-81CE-CB22FAFDAFDD;;16/05/2014 10:00:00;;;;;;;;WITHOUT;;MANUAL;;;;;
254-21;254;Malvern Roman Way;South West;Behavioural;Electricity;Customer Cafe;Realized;16/05/2014 01:00:00;The customer caf®¶ operating demand is sometimes 20kW lower;Operate with this level as a standard;16/05/2014 10:00:00;62400;5616;Laurent Crolard;;2014/4/8 11:30;16/05/2014 10:00:00;2014/4/8 12:00;2014/4/8 10:30;;2014/12/8 12:40;SuperUser_3C0CCFE9-844D-4D8C-81CE-CB22FAFDAFDD;;16/05/2014 10:00:00;;;;;;;;WITHOUT;;MANUAL;25/06/2014 11:45:06;Amanda Ward;25/06/2014 11:45:06|Amanda Ward|This may be an anomaly. Unless this is believed to be due to a fault keeping equipment on when it should be off (in which case it is not behavioural), please close.|04/08/2014 01:00:00|elutions@elutions.com|The difference happens often and all consumption related to the customer caf®¶ DB should be checked by the energy champions. Some high consumming equipment might be started during the day and left on at night. This seems to be better, the last occurence was in may.;;
254-20;254;Malvern Roman Way;South West;Behavioural;Electricity;Customer Cafe;Updated;16/05/2014 01:00:00;It has been identified that energy usage in the cafe is above expected outside of the cafe opening hours.;Please ensure all equipment is switched off when not in use and that all lighting and local ventilation controls are switched off outside of store opening hours.;16/05/2014 14:00:00;6660;600;Laurent Crolard;;2014/4/8 15:30;16/05/2014 14:00:00;;2014/8/12 16:56;2014/8/12 15:57;2014/8/12 15:57;Chicheng Zhang;;16/05/2014 14:00:00;;;;;;;;WITHOUT;;MANUAL;25/06/2014 15:43:28;Amanda Ward;25/06/2014 15:43:28|Amanda Ward|We need a recent example if this is still an issue.;;
287-17;287;Maldon Limebrook Way;South East;BMS;Electricity;HVAC;Realized;16/05/2014 01:00:00;All the Air Handling Units start running at 4:00 in the morning on weekdays. The store only opens at 8:00;Adjust and fine tune AHUs schedule of operation to achieve required store temperature at opening time.;16/05/2014 10:00:00;15600;1404;Laurent Crolard;;2014/7/6 11:30;16/05/2014 10:00:00;2014/7/6 12:00;16/05/2014 10:30:00;;2014/12/8 12:40;SuperUser_3C0CCFE9-844D-4D8C-81CE-CB22FAFDAFDD;16/05/2014 10:00:00;;;;;;;;;WITHOUT;;MANUAL;;;;;
287-16;287;Maldon Limebrook Way;South East;BMS;Electricity;HVAC;Realized;16/05/2014 01:00:00;The H&V Panel Back Of Store has sometimes a higher night demand whereas the sales AHU is not running . Night demand should stay at a minimal level.;Adjust and fine tune schedule of operation for this ventilation panel to reduce the demand during after hours and when the main AHU is not running and to maintain minimal night demand.;16/05/2014 10:00:00;5000;450;Laurent Crolard;;2014/7/6 11:30;16/05/2014 10:00:00;2014/7/6 12:00;16/05/2014 10:30:00;;2014/12/8 12:40;SuperUser_3C0CCFE9-844D-4D8C-81CE-CB22FAFDAFDD;16/05/2014 10:00:00;;;;;;;;;WITHOUT;;MANUAL;;;;;
107-18;107;Hull Anlaby;North;Behavioural;Electricity;Customer Cafe;Realized;16/05/2014 01:00:00;The customer caf®¶ operating demand fluctuates from day to day;Operate with the minimal demand as a standard and ensure all equipment are not operating unnecessarily;16/05/2014 14:00:00;24960;2250;Laurent Crolard;;2015/9/2 19:31;16/05/2014 14:00:00;2015/9/2 19:32;2015/9/2 19:26;2014/4/12 21:25;2015/9/2 19:32;Zhaohua Tan;;16/05/2014 14:00:00;;;;;;;;WITHOUT;;MANUAL;25/06/2014 23:19:20;Amanda Ward;25/06/2014 23:19:20|Amanda Ward|Consumption will fluctuate from day to day dependending on customers / equipment used. To progress this, more detail is needed on what the issue is.|09/02/2015 20:31:14|Zhaohua Tan|No more overload in the night. The ECM State has been changed to Realized.;2014/12/8 0:00;
516-17;516;Glasgow Barrack Street;Scotland;BMS;Electricity;HVAC;Blocked;16/05/2014 01:00:00;The ventilation demand for the back of the store has been increased during the day and the temperature in the store has been decreased and is now below the winter ambient temperature, as well as the company standard;Adjust and fine tune AHUs schedule of operation to reduce the cooling demand and maintain the standard temperature within the sales area at opening time.;16/05/2014 10:00:00;11760;1060;Laurent Crolard;30/06/2014 12:30:00;;16/05/2014 10:00:00;;16/05/2014 10:30:00;30/06/2014 11:00:00;2014/12/8 12:38;SuperUser_3C0CCFE9-844D-4D8C-81CE-CB22FAFDAFDD;16/05/2014 10:00:00;;;;;;;;;WITHOUT;;MANUAL;23/06/2014 01:00:00;mittons@elutions.com;23/06/2014 01:00:00|mittons@elutions.com|No changes made, BMS operation and settings correct to corporate standard. There is no cooling available other that free cooling if the space has overheated, all AHUs nominally run at minimum speeds and are maintaining standard setpoints.|30/06/2014 01:00:00|elutions@elutions.com|blocked as no changes will be made on these.;;
